user_id,age_group,city_tier,subscription_date,subscription_plan,last_active_date,plan_change_date,new_subscription_plan
UIDJS01638d6319b,25-34,Tier 1,11/19/2024,Premium,NULL,NULL,NULL
UIDJS0163bac69a6,35-44,Tier 3,2/27/2024,Premium,NULL,NULL,NULL
UIDJS0165eaaec34,25-34,Tier 1,2/5/2024,VIP,NULL,9/5/2024,Premium
UIDJS0167b3a4fef,45+,Tier 1,11/21/2024,VIP,NULL,12/21/2024,Premium
UIDJS016b0c6c288,35-44,Tier 2,11/22/2024,VIP,NULL,NULL,NULL
UIDJS016cecb23e1,35-44,Tier 1,1/30/2024,Premium,NULL,NULL,NULL
UIDJS016d06b7ad1,25-34,Tier 1,8/26/2024,Premium,NULL,NULL,NULL
UIDJS016db2067a5,35-44,Tier 2,2/7/2024,VIP,NULL,NULL,NULL
UIDJS016eb39b370,25-34,Tier 1,10/4/2024,VIP,NULL,11/4/2024,Free
UIDJS0171f1f4cd7,45+,Tier 1,4/30/2024,Free,NULL,NULL,NULL
UIDJS017242c6666,25-34,Tier 2,7/6/2024,VIP,NULL,9/6/2024,Premium
UIDJS0173a3ffda7,18-24,Tier 1,3/7/2024,Free,NULL,NULL,NULL
UIDJS01741a7dbc9,25-34,Tier 1,2/17/2024,Premium,NULL,NULL,NULL
UIDJS0176a68d2a7,25-34,Tier 1,5/5/2024,VIP,9/26/2024,NULL,NULL
UIDJS017d3ab9f4a,35-44,Tier 2,3/24/2024,VIP,NULL,NULL,NULL
UIDJS017f11ad05c,18-24,Tier 3,4/11/2024,Premium,NULL,NULL,NULL
UIDJS0180de5eab4,35-44,Tier 1,4/28/2024,VIP,NULL,6/28/2024,Premium
UIDJS0181ea65ce0,45+,Tier 1,9/22/2024,Free,NULL,NULL,NULL
UIDJS018348c4447,25-34,Tier 1,7/13/2024,VIP,NULL,NULL,NULL
UIDJS01837acb622,25-34,Tier 2,2/8/2024,Premium,NULL,NULL,NULL
UIDJS0186c811fa4,25-34,Tier 1,6/5/2024,VIP,NULL,NULL,NULL
UIDJS018a58964bc,18-24,Tier 2,1/4/2024,Free,NULL,NULL,NULL
UIDJS018d64c16df,45+,Tier 1,7/31/2024,Free,NULL,12/31/2024,Premium
UIDJS018dd23d8c2,25-34,Tier 1,2/21/2024,Free,NULL,NULL,NULL
UIDJS018e651c874,25-34,Tier 2,1/26/2024,VIP,NULL,5/26/2024,Premium
UIDJS018ee0968c5,35-44,Tier 2,3/23/2024,VIP,8/2/2024,NULL,NULL
UIDJS01902f5b0dd,25-34,Tier 1,7/25/2024,VIP,NULL,8/25/2024,Free
UIDJS0192908e87f,18-24,Tier 1,11/3/2024,VIP,NULL,NULL,NULL
UIDJS01951f98bf9,25-34,Tier 1,4/11/2024,Premium,NULL,NULL,NULL
UIDJS0197ef9174c,35-44,Tier 2,9/8/2024,VIP,NULL,NULL,NULL
UIDJS01986720531,18-24,Tier 2,11/17/2024,VIP,NULL,NULL,NULL
UIDJS019880aa44d,35-44,Tier 1,8/22/2024,VIP,NULL,NULL,NULL
UIDJS01990c4bf05,35-44,Tier 2,6/22/2024,Free,10/9/2024,NULL,NULL
UIDJS019a4e5da10,25-34,Tier 3,4/28/2024,Free,NULL,6/28/2024,VIP
UIDJS019ae965583,25-34,Tier 1,5/25/2024,VIP,NULL,NULL,NULL
UIDJS019cb16dc91,35-44,Tier 3,8/1/2024,Free,NULL,NULL,NULL
UIDJS019d7de71e0,35-44,Tier 1,1/12/2024,VIP,NULL,3/12/2024,Premium
UIDJS019db8935c9,25-34,Tier 2,2/29/2024,VIP,NULL,NULL,NULL
UIDJS019f73d3371,25-34,Tier 1,10/9/2024,VIP,NULL,NULL,NULL
UIDJS019fdfcab8c,25-34,Tier 3,7/16/2024,VIP,NULL,NULL,NULL
UIDJS01a05ea9a82,25-34,Tier 1,7/2/2024,Free,NULL,NULL,NULL
UIDJS01a0e203d4a,25-34,Tier 1,5/8/2024,Premium,NULL,NULL,NULL
UIDJS01a146894b8,25-34,Tier 1,11/14/2024,VIP,NULL,NULL,NULL
UIDJS01a5300ad49,18-24,Tier 3,4/29/2024,Free,NULL,NULL,NULL
UIDJS01a62d1a097,25-34,Tier 3,2/10/2024,VIP,NULL,NULL,NULL
UIDJS01a64ec96a9,25-34,Tier 3,10/26/2024,VIP,NULL,NULL,NULL
UIDJS01a6acd40a9,35-44,Tier 2,2/12/2024,Premium,NULL,NULL,NULL
UIDJS01a751ee1ec,35-44,Tier 1,1/25/2024,VIP,NULL,5/25/2024,Premium
UIDJS01a850c9d7f,35-44,Tier 1,3/6/2024,VIP,NULL,NULL,NULL
